ID		manufacturer		product type		digital storage		flash memory installed		diagonal size		battery		supported digital audio standards		estimated battery life
35035020		Samsung		Digital player / radio,				8 GB,		4 in,		1 x Lithium ion Rechargeable Player battery,		MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,AC-3,,eAAC+,,AAC +,,OGG,,WAV,,MP3,,WMA,,FLAC,,AAC,,AAC-LC,,AMR,		36 hour(s),		
35035019		Samsung		Digital player / radio,				8 GB,		5 in,		1 x Lithium polymer Rechargeable Player battery,		MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,AC-3,,eAAC+,,AAC +,,OGG,,WAV,,MP3,,WMA,,FLAC,,AAC,,AAC-LC,,AMR,		60 hour(s),		
34167378		Apple		Digital player,		None,		8 GB Integrated,		3.5 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		40 hour(s),		
34167385		Apple		Digital player,		None,		32 GB Integrated,		3.5 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		40 hour(s),		
34167387		Apple		Digital player,		None,		64 GB Integrated,		3.5 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		40 hour(s),		
34865095																15.0 hour(s),		
34865103																15.0 hour(s),		
34165623		SanDisk		Digital player / radio,		None,		8 GB Integrated,		2.4 in,		Rechargeable Player battery,		MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,,AAC,		24 hour(s),		
34165626		SanDisk		Digital player / radio,		None,		16 GB Integrated,		2.4 in,		Rechargeable Player battery,		MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,,AAC,		24 hour(s),		
34165136		SanDisk		Digital player / radio,		None,		8 GB Integrated,		2.4 in,		Rechargeable Player battery,		MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,,AAC,		24 hour(s),		
34165138		SanDisk		Digital player / radio,		None,		8 GB Integrated,		2.4 in,		Rechargeable Player battery,		MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,,AAC,		24 hour(s),		
34165625		SanDisk		Digital player / radio,		None,		8 GB Integrated,		2.4 in,		Rechargeable Player battery,		MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,,AAC,		24 hour(s),		
34165137		SanDisk		Digital player / radio,		None,		4 GB Integrated,		2.4 in,		Rechargeable Player battery,		MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,,AAC,		24 hour(s),		
34165622		SanDisk		Digital player / radio,		None,		4 GB Integrated,		2.4 in,		Rechargeable Player battery,		MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,,AAC,		24 hour(s),		
34165624		SanDisk		Digital player / radio,		None,		4 GB Integrated,		2.4 in,		Rechargeable Player battery,		MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,,AAC,		24 hour(s),		
34167351		Apple		Digital player / radio,		None,		8 GB Integrated,		1.54 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
34167342		Apple		Digital player,		None,		2 GB Integrated,				Lithium ion Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		15 hour(s),		
34167368		Apple		Digital player / radio,		None,		16 GB Integrated,		1.54 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
34167341		Apple		Digital player,		None,		2 GB Integrated,				Lithium ion Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		15 hour(s),		
34167346		Apple		Digital player / radio,		None,		8 GB Integrated,		1.54 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
34167348		Apple		Digital player / radio,		None,		8 GB Integrated,		1.54 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
34167347		Apple		Digital player / radio,		None,		8 GB Integrated,		1.54 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
34167356		Apple		Digital player / radio,		None,		16 GB Integrated,		1.54 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
34167359		Apple		Digital player / radio,		None,		8 GB Integrated,		1.54 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
34167343		Apple		Digital player,		None,		2 GB Integrated,				Lithium ion Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		15 hour(s),		
34167350		Apple		Digital player / radio,		None,		8 GB Integrated,		1.54 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
34167344		Apple		Digital player,		None,		2 GB Integrated,				Lithium ion Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		15 hour(s),		
34167355		Apple		Digital player / radio,		None,		16 GB Integrated,		1.54 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
34167345		Apple		Digital player,		None,		2 GB Integrated,				Lithium ion Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		15 hour(s),		
34167358		Apple		Digital player / radio,		None,		16 GB Integrated,		1.54 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
34167349		Apple		Digital player / radio,		None,		8 GB Integrated,		1.54 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
34167357		Apple		Digital player / radio,		None,		16 GB Integrated,		1.54 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
34167353		Apple		Digital player / radio,		None,		16 GB Integrated,		1.54 in,		Lithium ion Rechargeable Player batteryIntegrated,		Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
34147058		Uebo																
33861359		HP																
33796633		HP																
34053383		Sony		Digital player,		None,		1.68 GB Integrated,				Lithium ion Rechargeable Player batteryIntegrated,		MP3,,Protected WMA (DRM),,WMA,,AAC,,AAC-LC,,PCM,		11 hour(s),		
34008410		Satechi		Speakers,		None,		microSD,						MP3,,WMA,				
33847488		Haier America Trading, L.L.C.		Digital player / radio,				4 GB,		1.8 in,		Lithium polymer Player battery,		MP3,,OGG,,WMA,				
33847491		Haier America Trading, L.L.C.		Digital player / radio,				8 GB,		1.8 in,		Lithium polymer Player battery,		MP3,,OGG,,WMA,				
33665869		Microsoft		Digital player / radio,		None,		32 GB Integrated,		3.3 in,		Lithium ion Rechargeable Player batteryIntegrated,		WMAPro,,MP3,,WMA,,AAC,		33 hour(s),		
33750785		Microsoft		Digital player / radio,		None,		16 GB Integrated,		3.3 in,		Lithium ion Rechargeable Player batteryIntegrated,		WMAPro,,MP3,,WMA,,AAC,		33 hour(s),		
34060884		Microsoft		Digital player / radio,		None,		64 GB Integrated,		3.3 in,		Lithium ion Rechargeable Player batteryIntegrated,		WMAPro,,MP3,,WMA,,AAC,		33 hour(s),		
33770785		Apple		Digital player / radio,		None,		8 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770793		Apple		Digital player / radio,		None,		16 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770795		Apple		Digital player / radio,		None,		8 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770789		Apple		Digital player / radio,		None,		16 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770797		Apple		Digital player / radio,		None,		16 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770811		Apple		Digital player / radio,		None,		8 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770786		Apple		Digital player / radio,		None,		16 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770788		Apple		Digital player / radio,		None,		8 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770792		Apple		Digital player / radio,		None,		8 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770790		Apple		Digital player / radio,		None,		8 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770798		Apple		Digital player / radio,		None,		8 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770813		Apple		Digital player / radio,		None,		8 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770814		Apple		Digital player / radio,		None,		16 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770809		Apple		Digital player / radio,		None,		8 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770810		Apple		Digital player / radio,		None,		16 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770807		Apple		Digital player / radio,		None,		16 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770812		Apple		Digital player / radio,		None,		16 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770791		Apple		Digital player / radio,		None,		16 GB Integrated,		2.2 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		24 hour(s),		
33770781		Apple		Digital player,		None,		8 GB Integrated,		3.5 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		30 hour(s),		
33770783		Apple		Digital player,		None,		64 GB Integrated,		3.5 in,		Lithium ion Rechargeable Player batteryIntegrated,		Apple Lossless,,WAV,,MP3,,AIFF,,Audible,,AAC,		30 hour(s),		
