manufacturer,product type,flash memory installed,diagonal size,battery,supported digital audio standards,estimated battery life
Samsung,"Digital player / radio,","8 GB,","4 in,","1 x Lithium ion Rechargeable Player battery,","MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,AC-3,,eAAC+,,AAC +,,OGG,,WAV,,MP3,,WMA,,FLAC,,AAC,,AAC-LC,,AMR,","36 hour(s),"
Samsung,"Digital player / radio,","8 GB,","5 in,","1 x Lithium polymer Rechargeable Player battery,","MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,AC-3,,eAAC+,,AAC +,,OGG,,WAV,,MP3,,WMA,,FLAC,,AAC,,AAC-LC,,AMR,","60 hour(s),"
Apple,"Digital player,","8 GB Integrated,","3.5 in,","Lithium ion Rechargeable Player batteryIntegrated,","Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,","40 hour(s),"
Apple,"Digital player,","32 GB Integrated,","3.5 in,","Lithium ion Rechargeable Player batteryIntegrated,","Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,","40 hour(s),"
Apple,"Digital player,","64 GB Integrated,","3.5 in,","Lithium ion Rechargeable Player batteryIntegrated,","Audible AAX+,,Audible AAX,,Apple Lossless,,WAV,,HE-AAC,,MP3,,AIFF,,Audible,,AAC,","40 hour(s),"
,,,,,,"15.0 hour(s),"
,,,,,,"15.0 hour(s),"
SanDisk,"Digital player / radio,","8 GB Integrated,","2.4 in,","Rechargeable Player battery,","MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,,AAC,","24 hour(s),"
SanDisk,"Digital player / radio,","16 GB Integrated,","2.4 in,","Rechargeable Player battery,","MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,,AAC,","24 hour(s),"
SanDisk,"Digital player / radio,","8 GB Integrated,","2.4 in,","Rechargeable Player battery,","MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,,AAC,","24 hour(s),"
SanDisk,"Digital player / radio,","8 GB Integrated,","2.4 in,","Rechargeable Player battery,","MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,,AAC,","24 hour(s),"
SanDisk,"Digital player / radio,","8 GB Integrated,","2.4 in,","Rechargeable Player battery,","MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,,AAC,","24 hour(s),"
SanDisk,"Digital player / radio,","4 GB Integrated,","2.4 in,","Rechargeable Player battery,","MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,,AAC,","24 hour(s),"
SanDisk,"Digital player / radio,","4 GB Integrated,","2.4 in,","Rechargeable Player battery,","MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,,AAC,","24 hour(s),"
